WKT,rand_point_id
"POLYGON ((-350795084.255448 -259922952.67774,-346491589.76041 -252454374.322717,-336330919.874499 -250400755.288978,-331648953.664301 -251328750.456773,-329943540.425611 -259922952.67774,-350795084.255448 -259922952.67774))","8"
"POLYGON ((-507969010.580424 -259922952.67774,-506690342.538293 -251596588.623605,-505476987.531667 -250807830.579255,-452193659.739731 -259922952.67774,-507969010.580424 -259922952.67774))","793"
"POLYGON ((-289242888.082803 -259922952.67774,-286025493.992341 -247312807.210157,-272787894.735118 -242457351.458454,-272608410.791989 -243518840.068748,-270117462.000012 -259922952.67774,-289242888.082803 -259922952.67774))","604"
"POLYGON ((-329943540.425611 -259922952.67774,-331648953.664301 -251328750.456773,-321434103.645688 -246816264.80031,-310914624.631569 -252417720.625575,-310594887.708278 -259922952.67774,-329943540.425611 -259922952.67774))","103"
"POLYGON ((-198117858.211318 -259922952.67774,-195005945.825352 -241320374.219372,-173681383.538854 -259922952.67774,-198117858.211318 -259922952.67774))","734"
"POLYGON ((-270117462.000012 -259922952.67774,-272608410.791989 -243518840.068748,-255413279.907167 -259922952.67774,-270117462.000012 -259922952.67774))","649"
"POLYGON ((-609942072.619612 -259922952.67774,-585982155.094761 -239327118.807404,-580920654.315862 -241490337.456028,-571893535.522488 -259922952.67774,-609942072.619612 -259922952.67774))","524"
"POLYGON ((-763449073.772119 -259922952.67774,-763227757.833595 -257989312.988223,-730959137.413143 -232514608.802026,-726070319.546919 -235744592.533217,-726168587.147236 -259922952.67774,-763449073.772119 -259922952.67774))","911"
"POLYGON ((-911074980.118266 -259922952.67774,-909863075.734091 -255096565.148559,-883142854.871576 -241538661.252818,-877384108.429439 -243922657.814926,-866607637.814494 -259922952.67774,-911074980.118266 -259922952.67774))","999"
"POLYGON ((-849868542.744402 -259922952.67774,-840002290.600544 -238094318.625585,-804328935.446306 -248274585.534907,-803498706.383491 -250327163.629876,-802045206.200266 -259922952.67774,-849868542.744402 -259922952.67774))","842"
"POLYGON ((-418600196.590729 -259922952.67774,-395616569.144263 -230699321.290697,-378011765.357802 -242830152.178529,-372084528.379978 -259922952.67774,-418600196.590729 -259922952.67774))","166"
