WKT,WKT,rand_point_id
"MULTIPOLYGON (((-350795066.95199 -259922942.67774,-346491583.351324 -252454383.229555,-336330919.855338 -250400765.487312,-331648962.170885 -251328758.965251,-329943552.604974 -259922942.67774,-350795066.95199 -259922942.67774)))","POLYGON ((-350795084.255448 -259922952.67774,-346491589.76041 -252454374.322717,-336330919.874499 -250400755.288978,-331648953.664301 -251328750.456773,-329943540.425611 -259922952.67774,-350795084.255448 -259922952.67774))","8"
"MULTIPOLYGON (((-507968998.927509 -259922942.67774,-506690333.333833 -251596594.567327,-505476985.361567 -250807841.095759,-452193777.500842 -259922942.67774,-507968998.927509 -259922942.67774)))","POLYGON ((-507969010.580424 -259922952.67774,-506690342.538293 -251596588.623605,-505476987.531667 -250807830.579255,-452193659.739731 -259922952.67774,-507969010.580424 -259922952.67774))","793"
"MULTIPOLYGON (((-289242875.211011 -259922942.67774,-286025485.604674 -247312814.785086,-272787902.588945 -242457364.990645,-272608420.66604 -243518841.653104,-270117473.633136 -259922942.67774,-289242875.211011 -259922942.67774)))","POLYGON ((-289242888.082803 -259922952.67774,-286025493.992341 -247312807.210157,-272787894.735118 -242457351.458454,-272608410.791989 -243518840.068748,-270117462.000012 -259922952.67774,-289242888.082803 -259922952.67774))","604"
"MULTIPOLYGON (((-329943532.215001 -259922942.67774,-331648942.296457 -251328756.367233,-321434104.053236 -246816275.912637,-310914634.37911 -252417726.764504,-310594898.143367 -259922942.67774,-329943532.215001 -259922942.67774)))","POLYGON ((-329943540.425611 -259922952.67774,-331648953.664301 -251328750.456773,-321434103.645688 -246816264.80031,-310914624.631569 -252417720.625575,-310594887.708278 -259922952.67774,-329943540.425611 -259922952.67774))","103"
"MULTIPOLYGON (((-198117846.399525 -259922942.67774,-195005938.914769 -241320393.518127,-173681410.214106 -259922942.67774,-198117846.399525 -259922942.67774)))","POLYGON ((-198117858.211318 -259922952.67774,-195005945.825352 -241320374.219372,-173681383.538854 -259922952.67774,-198117858.211318 -259922952.67774))","734"
"MULTIPOLYGON (((-270117453.403869 -259922942.67774,-272608396.509717 -243518867.514678,-255413304.876495 -259922942.67774,-270117453.403869 -259922942.67774)))","POLYGON ((-270117462.000012 -259922952.67774,-272608410.791989 -243518840.068748,-255413279.907167 -259922952.67774,-270117462.000012 -259922952.67774))","649"
"MULTIPOLYGON (((-609942045.645581 -259922942.67774,-585982153.298515 -239327130.450111,-580920661.66249 -241490345.191191,-571893551.554667 -259922942.67774,-609942045.645581 -259922942.67774)))","POLYGON ((-609942072.619612 -259922952.67774,-585982155.094761 -239327118.807404,-580920654.315862 -241490337.456028,-571893535.522488 -259922952.67774,-609942072.619612 -259922952.67774))","524"
"MULTIPOLYGON (((-763449062.562275 -259922942.67774,-763227748.37158 -257989318.25902,-730959136.89236 -232514621.131546,-726070329.568803 -235744597.897322,-726168597.106676 -259922942.67774,-763449062.562275 -259922942.67774)))","POLYGON ((-763449073.772119 -259922952.67774,-763227757.833595 -257989312.988223,-730959137.413143 -232514608.802026,-726070319.546919 -235744592.533217,-726168587.147236 -259922952.67774,-763449073.772119 -259922952.67774))","911"
"MULTIPOLYGON (((-911074967.296832 -259922942.67774,-909863067.145082 -255096572.004115,-883142854.447628 -241538672.251346,-877384115.039658 -243922665.90146,-866607656.606302 -259922942.67774,-911074967.296832 -259922942.67774)))","POLYGON ((-911074980.118266 -259922952.67774,-909863075.734091 -255096565.148559,-883142854.871576 -241538661.252818,-877384108.429439 -243922657.814926,-866607637.814494 -259922952.67774,-911074980.118266 -259922952.67774))","999"
"MULTIPOLYGON (((-849868527.250511 -259922942.67774,-840002285.043597 -238094330.61062,-804328942.885799 -248274593.811089,-803498716.094654 -250327166.2898,-802045217.829062 -259922942.67774,-849868527.250511 -259922942.67774)))","POLYGON ((-849868542.744402 -259922952.67774,-840002290.600544 -238094318.625585,-804328935.446306 -248274585.534907,-803498706.383491 -250327163.629876,-802045206.200266 -259922952.67774,-849868542.744402 -259922952.67774))","842"
